input_id,model,quant_level,n_pairs,n_skipped_pairs,nli_contradiction_max_mean,nli_contradiction_max_mean_std,nli_contradiction_mean_mean,nli_contradiction_mean_mean_std,nli_contradiction_q90_mean,nli_contradiction_q90_mean_std
MAIN-001,Gemma-3-4B-it,Q3_K_M,190,0,0.9747018157278872,0.020595469928639,0.2079008646123231,0.021049761817608,0.8059224143882886,0.0613670475644334
MAIN-001,Gemma-3-4B-it,Q4_K_M,190,0,0.9842919178114062,0.0259200852305677,0.2537508806178703,0.0407024345680479,0.8525147418129414,0.0926412295935925
MAIN-001,Gemma-3-4B-it,Q5_K_M,190,0,0.9927622526437548,0.0105065338014195,0.2215092989424243,0.0232145081115491,0.8263787749086632,0.0606763619161398
MAIN-001,Gemma-3-4B-it,Q6_K,190,0,0.9804522009347288,0.0196063921244871,0.244664636150203,0.0311304467113968,0.827440353403414,0.0642427504391524
MAIN-001,Phi-4-mini-instruct,Q3_K_M,190,0,0.4918280809219156,0.1941330272149636,0.0836445071277346,0.0417691826287998,0.2548368486105489,0.1425248486697618
MAIN-001,Phi-4-mini-instruct,Q4_K_M,190,0,0.44792874259993,0.2179685631416477,0.0819873159802642,0.0438561619917628,0.2459934888052478,0.1448776196058457
MAIN-001,Phi-4-mini-instruct,Q5_K_M,190,0,0.3597853628617637,0.213855253941484,0.0603602122658203,0.0418532172298699,0.1793123469549628,0.1455890073438485
MAIN-001,Phi-4-mini-instruct,Q6_K,190,0,0.2394738327530068,0.1892529350473314,0.0440346080523574,0.0376926588677365,0.1291215601476748,0.1160866116995744
MAIN-001,Qwen-MediCare-BD,Q3_K_M,190,0,0.8258667361150285,0.1630462652320149,0.2277640844450823,0.0746667636894905,0.6284386201937453,0.1670738618750747
MAIN-001,Qwen-MediCare-BD,Q4_K_M,190,0,0.653711053611982,0.1942275102103838,0.1838037953796195,0.0717183325469147,0.4967867984606363,0.1788279465809779
MAIN-001,Qwen-MediCare-BD,Q5_K_M,190,0,0.6744530019888264,0.1916947928598959,0.2060931367941839,0.0732447898574554,0.5373786834580793,0.1716199608518996
MAIN-001,Qwen-MediCare-BD,Q6_K,190,0,0.7283660810943143,0.1323638920669208,0.2063883122736152,0.0581395657351469,0.5688752530853567,0.1258461771277418
MAIN-002,Gemma-3-4B-it,Q3_K_M,0,190,,,,,,
MAIN-002,Gemma-3-4B-it,Q4_K_M,190,0,0.8398598542784259,0.065512833437431,0.1334154057832157,0.0210291732409461,0.4521856593427079,0.0872023186765962
