input_id,model,quant_level,n_pairs,n_skipped_pairs_x,bertscore_f1_mean,bertscore_f1_std,rougeL_f1_mean,rougeL_f1_std,n_skipped_pairs_y,medcon_f1_mean,medcon_f1_std,mean_cui_count,n_skipped_numeric,numeric_jaccard_mean,numeric_jaccard_std,mean_fact_count
MAIN-001,Gemma-3-4B-it,Q3_K_M,190,0,0.8237952169619108,0.027222304914091486,0.6150116069819027,0.06040541559808821,0,0.6934139392626889,0.07581991185151911,146.45,0,0.4771929824561403,0.39885972562607475,1.3
MAIN-001,Gemma-3-4B-it,Q4_K_M,190,0,0.7852888273565393,0.03963296878276686,0.48315431330762304,0.0791326221281882,0,0.6479725658266752,0.0964088060959055,180.6,0,0.39149749373433584,0.37270867083294584,2.55
MAIN-001,Gemma-3-4B-it,Q5_K_M,190,0,0.7942534437305049,0.02558162977484223,0.5190702816391259,0.06163929469394092,0,0.7227046492421978,0.056909068371790106,190.65,0,0.4263157894736842,0.49584741771449736,1.3
MAIN-001,Gemma-3-4B-it,Q6_K,190,0,0.8117185175418854,0.026177210876334314,0.5561393228265591,0.06745250827009468,0,0.7096871833858218,0.06876769914465304,190.0,0,0.33157894736842103,0.42895956927953893,1.5
MAIN-001,Phi-4-mini-instruct,Q3_K_M,190,0,0.6787982818327452,0.04349501816829093,0.27350651227711803,0.05878665316008258,0,0.42442764109873676,0.0932234814419559,74.6,0,0.31842105263157894,0.45707562684414793,0.65
MAIN-001,Phi-4-mini-instruct,Q4_K_M,190,0,0.6741355783060977,0.061124352743648726,0.2821637697339882,0.06302376345655586,0,0.3880695569724682,0.10693586323802737,63.15,0,0.4263157894736842,0.4958474177144974,0.75
MAIN-001,Phi-4-mini-instruct,Q5_K_M,190,0,0.6893043998040651,0.04410771572391041,0.286780688230008,0.07656904115392349,0,0.46736470885260434,0.09735354328272774,59.2,0,0.4263157894736842,0.4958474177144974,0.7
MAIN-001,Phi-4-mini-instruct,Q6_K,190,0,0.7071151131077816,0.057045658105114375,0.3246577198491388,0.1077334535195449,0,0.46425641164285636,0.12957117687815872,50.1,0,0.3631578947368421,0.48218037231442745,0.65
MAIN-001,Qwen-MediCare-BD,Q3_K_M,190,0,0.5576656073331833,0.06059264462708614,0.13551809195393932,0.041975415200226594,0,0.25059348908842966,0.12094177790549852,71.2,0,0.0387719298245614,0.17215721772471754,1.65
MAIN-001,Qwen-MediCare-BD,Q4_K_M,190,0,0.663098826220161,0.03920409209083245,0.2445715301911789,0.0734083624717584,0,0.32228025520567966,0.1309760562963057,83.5,0,0.040964912280701746,0.12380625258979193,1.95
MAIN-001,Qwen-MediCare-BD,Q5_K_M,190,0,0.6653087546950892,0.0657166017981871,0.2827833773749547,0.08063042031841622,0,0.4071499810676682,0.10195672752992642,74.2,0,0.07018170426065162,0.1459259434062747,2.35
